Roll,Pitch
25.3614,25.4617
25.5882,26.9202
26.4587,26.4587
26.7582,26.8536
25.7524,26.0261
27.577,26.9388
26.8803,26.7049
27.1589,26.4084
27.0237,26.4109
26.8628,26.4639
27.01,26.8719
27.1024,28.2677
28.7016,26.8375
27.8511,27.8511
27.9612,27.9612
28.9581,27.1644
27.6687,28.1515
27.9501,29.0501
28.3735,28.3735
28.208,27.5361
27.8885,29.1232
28.653,28.653
28.1611,28.2239
28.6329,28.8099
28.3536,28.1707
29.8696,29.8954
29.0615,29.0615
29.2849,29.6495
29.075,28.6741
28.978,28.378
29.3359,29.3359
28.428,29.2072
30.2725,28.7936
29.511,29.511
29.0801,30.0269
29.9085,29.5997
29.4166,29.7536
29.2958,29.2787
29.9906,29.1217
29.7814,29.7814
29.4411,29.1831
29.5847,29.5356
30.508,30.4369
29.0644,29.661
29.9249,29.9249
30.496,29.5518
30.7824,29.833
29.8686,30.4866
29.2019,30.0028
30.0151,30.7339
29.9983,29.9983
30.5897,30.8342
30.0863,29.7559
30.6176,29.3942
30.8851,29.6887
29.9769,29.9769
29.9637,29.9637
30.6993,28.9805
29.7054,30.1731
30.08,29.8592
29.961,29.4832
29.7943,30.6529
29.2103,30.5099
29.7871,29.7871
29.6324,29.2018
29.0512,29.1888
30.266,29.5381
29.2428,28.8003
29.5716,29.5716
29.38,29.7857
29.6334,30.2744
30.3662,29.116
29.7067,28.5681
28.7983,28.6068
28.4829,29.4052
28.6702,28.2299
29.668,29.4957
28.4413,29.6603
28.5694,28.5128
28.4758,28.6786
29.318,28.7699
27.8382,29.6542
27.9404,29.1793
27.543,28.0164
28.389,28.389
28.7513,27.4921
27.878,28.3464
27.5599,29.0226
27.406,28.9046
27.9624,27.3219
27.1362,27.2195
27.6189,27.4677
26.8634,27.8814
27.1934,27.6753
26.5821,28.2549
26.2282,27.9207
27.0238,27.0238
26.8922,26.8922
26.7579,26.7579
27.2132,26.7866
27.0149,26.005
26.0096,25.5971
25.7779,25.4671
26.0464,26.0464
25.3578,25.1098
26.0511,24.7467
24.6133,26.1463
25.8604,24.6277
25.2699,25.2699
25.8888,24.8177
25.3814,25.339
24.1692,24.8013
24.4511,25.0913
24.4303,23.9381
24.0579,25.0643
24.2969,24.9456
23.842,24.6159
24.3254,23.6912
23.5585,22.8953
22.8221,23.0082
23.1526,23.1526
22.018,23.1528
22.3867,22.1023
22.5699,22.5699
22.3712,22.3712
22.5955,22.664
21.612,21.9091
20.8808,22.6665
21.6234,20.6388
21.3442,21.3442
22.0015,21.1756
20.1118,20.4977
20.7023,20.7023
21.1192,19.9479
20.6733,19.5636
20.3609,19.8861
20.6896,20.7634
19.8892,19.8776
19.363,19.363
19.0405,19.0068
18.3896,19.5515
17.8339,19.4809
17.5842,17.778
17.9755,18.428
17.9542,17.9542
18.3197,17.5069
17.0252,17.2684
17.2252,17.2252
17.7966,16.8123
17.0442,16.0921
16.5107,16.0646
16.2292,16.2292
15.6947,15.007
15.7213,15.7213
15.465,15.465
14.5415,14.5514
14.9334,14.6927
14.0832,15.4156
13.8331,14.1037
15.0642,14.917
13.8957,13.8957
12.7345,14.5223
12.6946,12.8995
13.092,13.092
12.9493,12.9171
13.435,11.812
12.41,13.2425
11.605,11.6231
10.9678,12.0592
11.5281,10.9353
11.8177,11.505
10.2493,10.5183
11.3764,11.6111
9.67405,10.8104
9.17473,10.172
10.5302,8.94639
8.49897,8.86321
8.93509,9.46586
8.97077,9.87452
7.93715,8.29594
8.33658,8.33658
8.33751,7.51534
7.10491,7.14043
7.32491,7.92219
7.93263,6.41871
7.06486,6.35537
6.5495,6.36275
6.4665,6.79519
6.31635,5.58779
5.94686,5.65822
6.41084,6.06664
6.08788,5.92143
5.37251,4.51446
4.69852,5.3446
3.98323,5.04622
3.9364,3.9364
3.6388,3.6388
3.97636,2.99431
3.36096,3.23125
1.78897,1.84191
2.985,2.0705
1.46892,2.12232
1.70487,1.69239
0.735554,2.1
2.19693,1.18927
1.33952,1.21663
-0.207907,0.924794
-0.585017,0.405617
-0.359881,-0.313017
-0.190485,0.0100267
0.436826,-0.736946
-0.212138,-0.403193
-1.66078,-0.214633
-1.38898,-0.95443
-1.38529,-2.53996
-1.8287,-2.89294
-2.43194,-2.50291
-3.46712,-3.513
-3.80918,-3.64014
-3.68384,-3.72176
-3.57718,-3.48964
-3.92679,-4.65276
-4.13898,-4.13898
-4.39979,-3.49622
-4.73237,-4.73237
-4.75295,-5.49202
-5.32387,-5.32387
-6.13742,-5.78731
-5.96381,-6.33511
-5.86344,-5.97957
-6.51901,-7.36426
-6.79279,-6.79279
-6.21423,-7.63658
-7.37581,-7.37581
-8.05858,-6.97744
-8.26695,-8.50342
-8.34683,-7.89407
-9.51934,-9.0715
-8.39618,-9.0464
-9.10624,-9.10624
-9.39163,-9.39163
-10.6738,-10.1307
-10.0215,-10.1109
-10.3202,-10.3492
-9.58161,-10.8786
-10.2344,-11.3737
-11.5881,-12.0117
-11.3614,-11.3614
-11.6658,-11.195
-11.9675,-12.4832
-12.1087,-12.5069
-12.2479,-12.8953
-12.6492,-12.2581
-13.5202,-13.342
-13.2756,-13.2756
-13.544,-13.544
-13.0968,-13.28
-14.6993,-13.3067
-14.1546,-15.1586
-14.4512,-13.7538
-14.0375,-14.7717
-15.1248,-15.1248
-14.583,-15.0942
-15.6399,-15.6399
-15.026,-15.537
-15.8771,-15.5931
-16.4007,-16.4007
-17.2332,-16.4754
-16.6003,-17.4274
-17.908,-17.9247
-18.1436,-17.4919
-17.6357,-17.6357
-17.8111,-17.5536
-17.577,-17.701
-19.2183,-18.0317
-18.7598,-18.7252
-18.8266,-18.8266
-18.3934,-19.9207
-19.6038,-19.063
-19.3543,-18.5333
-20.2075,-19.0057
-19.9705,-19.9705
-20.4821,-20.5572
-21.1757,-19.7245
-20.633,-20.633
-20.5586,-19.9198
-20.64,-20.7858
-21.2769,-21.2769
-20.9676,-21.1927
-21.6079,-21.9905
-22.5091,-21.8568
-22.1057,-22.1057
-22.3074,-22.3074
-22.5069,-22.5069
-22.1693,-23.4925
-22.899,-22.899
-23.1804,-23.9645
-23.4729,-22.6055
-23.3615,-23.7384
-23.1287,-24.2314
-23.8566,-23.2951
-23.1543,-23.501
-24.1985,-24.1985
-24.9906,-23.8311
-23.5852,-24.1558
-24.7195,-24.7195
-24.219,-24.8375
-24.9938,-25.9533
-25.2183,-25.2183
-25.3795,-25.3795
-24.853,-25.7513
-25.6943,-25.6943
-26.6969,-25.3654
-25.9588,-25.771
-25.6759,-26.8473
-26.1209,-25.9678
-25.5336,-27.3473
-26.0668,-25.7379
-27.4777,-26.8297
-26.4741,-26.1055
-27.5149,-26.5095
-27.1119,-27.1119
-27.1259,-26.8722
-27.3634,-27.3634
-27.4776,-27.6004
-28.5647,-28.2979
-26.7735,-27.8713
-28.2927,-28.476
-28.7955,-27.3004
-28.1917,-27.4796
-28.1565,-28.1565
-28.4763,-27.4926
-28.0632,-28.5644
-28.4544,-28.4544
-28.5481,-28.5481
-28.1287,-28.2517
-28.5566,-29.2947
-28.231,-27.8311
-28.8939,-28.8939
-29.3181,-29.3074
-28.6708,-29.1723
-29.123,-29.123
-29.1936,-29.1936
-28.7235,-28.4127
-28.5734,-28.6019
-28.4079,-29.4459
-29.3223,-28.6779
-29.5024,-29.5024
-30.2587,-30.2458
-30.2056,-28.6141
-29.3736,-29.1549
-29.0452,-30.6396
-30.5712,-30.1004
-29.7075,-29.2116
-29.3374,-30.5873
-30.5703,-30.3192
-29.9676,-29.8817
-30.5188,-29.551
-30.5675,-30.6262
-30.8317,-30.7487
-29.9588,-29.9588
-29.8519,-30.6324
-29.9843,-29.9843
-29.5991,-29.3312
-30.508,-29.3669
-29.2419,-30.689
-29.9991,-29.9991
-30.9943,-30.9282
-29.9886,-29.9886
-29.7537,-29.4125
-29.966,-29.966
-29.8949,-30.9153
-30.3599,-29.3288
-29.9097,-29.9097
-30.5423,-29.8888
-29.0555,-30.3094
-30.4237,-29.1361
-29.3155,-29.191
-29.5839,-30.2626
-29.3836,-29.5345
-29.5362,-29.4218
-29.3063,-28.8248
-30.5307,-28.7981
-28.5635,-28.963
-29.2742,-29.3107
-28.5595,-30.2231
-28.5022,-30.3218
-30.0508,-30.2127
-29.2262,-29.2262
-29.1885,-29.3307
-29.085,-29.085
-29.5912,-28.7922
-29.8213,-28.6724
-28.8514,-28.8514
-28.8636,-28.5383
-28.9564,-29.5463
-29.1498,-28.6126
-29.1145,-27.5479
-27.5057,-28.9934
-29.0134,-28.4648
-27.8342,-29.1204
-27.8317,-28.6395
-27.0061,-27.9185
-27.4961,-27.3989
-28.0983,-27.7028
-27.7693,-26.6799
-27.092,-27.5614
-27.4218,-27.4218
-27.2988,-27.2988
-26.4251,-26.4696
-27.7013,-27.6276
-26.9133,-26.9133
-27.0776,-26.4988
-26.8088,-26.8434
-26.0669,-25.6078
-26.3618,-26.3618
-25.3155,-27.0058
-26.786,-25.7411
-26.5677,-25.6785
-25.6206,-26.4312
-26.3867,-24.7507
-24.9983,-25.6646
-25.5027,-26.1688
-24.4122,-25.233
-24.968,-24.968
-23.8317,-23.9684
-24.6304,-24.6304
-23.8868,-23.9597
-23.8243,-24.9278
-24.3084,-23.7925
-24.4942,-24.864
-22.8654,-24.6262
-23.7163,-23.968
-23.3722,-23.3722
-23.5493,-23.2488
-22.9914,-22.9914
-22.9793,-23.747
-21.917,-23.5504
-23.2701,-21.6948
-22.5066,-23.0402
-22.3406,-22.891
-22.4402,-21.2007
-22.2342,-21.9255
-20.5808,-22.2585
-21.5924,-20.1894
-20.8726,-20.9655
-19.9266,-19.7378
-20.9433,-21.3842
-20.5491,-20.3694
-20.0772,-20.0772
-20.1239,-19.2169
-20.4269,-19.784
-18.6616,-19.6803
-19.1697,-19.1697
-18.8706,-18.8942
-19.0327,-19.0399
-19.3828,-19.051
-18.2316,-18.2316
-17.9924,-17.9924
-17.4007,-18.0848
-17.646,-16.6845
-18.0562,-17.7591
-17.7549,-16.5455
-16.6464,-15.8659
-16.9615,-16.3261
-16.6695,-16.5633
-16.3825,-16.5913
-14.9721,-16.0216
-16.123,-16.021
-16.1409,-15.4638
-14.1759,-15.9627
-14.7286,-14.7286
-14.4666,-14.4666
-14.8097,-13.9271
-13.696,-14.3233
-13.6717,-13.6717
-12.6425,-14.2007
-12.1442,-12.6941
-12.6824,-13.2699
-13.4688,-12.3154
-12.7271,-13.2273
-12.035,-11.15
-11.6667,-11.5084
-12.3142,-12.2273
-10.79,-10.6618
-10.9375,-10.9375
-10.6576,-10.6576
-10.3767,-10.3767
-9.82206,-10.8763
-9.16003,-9.48434
-9.20844,-9.93971
-8.7501,-8.95816
-9.09834,-9.85996
-8.6701,-8.6701
-8.7181,-8.17553
-8.0418,-7.78545
-8.32341,-7.39022
-7.51468,-7.51468
-7.01619,-7.64791
-6.54728,-6.37209
-6.6501,-6.84707
-6.34723,-6.34723
-6.25773,-5.49336
-6.08442,-6.27453
-6.4619,-4.98237
-5.96001,-5.76564
-4.32971,-4.77478
-4.60716,-4.0195
-4.2809,-4.2809
-3.38583,-4.21473
-3.02476,-4.58356
-4.24254,-3.88898
-3.08377,-2.49337
-1.9055,-1.83414
-2.03895,-3.22852
-1.74815,-1.82844
-1.99689,-2.65932
-1.31337,-0.776075
-0.617639,-0.987539
-0.497114,-0.0932361
0.0602788,-0.21544
-0.925894,0.545879
-0.249748,0.84563
0.204438,0.204438
0.504408,0.504408
-0.0231882,1.1512
0.300923,0.84258
1.77398,0.835828
2.25917,2.28224
1.73825,1.81355
1.71715,1.4755
3.14504,2.63953
3.85687,2.67644
3.3019,4.0353
3.10597,3.78035
3.76321,4.482
3.86779,4.65551
3.58984,3.40847
4.08193,4.15993
5.043,4.3743
5.94736,5.08748
4.78159,4.7263
5.44924,6.43525
5.74344,6.40371
7.29594,7.38244
6.61121,6.31583
6.20749,7.55442
7.19477,6.43368
7.8418,6.83954
8.77732,7.6056
8.25272,7.73115
8.48695,8.48695
9.48477,8.74948
9.0607,9.0607
8.60385,9.13825
9.17671,10.2915
10.8901,10.2611
10.0562,10.6978
10.9935,10.6985
9.87811,10.8394
11.4993,11.5843
11.7101,11.2945
11.782,10.8548
11.8706,11.8706
11.3022,11.1611
12.2654,12.1636
11.8475,13.1375
13.0253,12.9171
13.114,13.4963
12.7543,13.5349
13.5043,12.9657
13.3184,14.2316
13.332,13.6913
14.1968,13.7749
14.5009,14.2585
14.5856,14.4938
15.342,15.342
16.0055,15.5526
14.9249,15.2234
16.1084,16.1084
17.2619,15.5154
16.6113,16.6113
16.8603,16.8603
17.1076,17.1076
18.0778,17.4688
17.597,17.597
18.6764,17.1715
18.3244,18.733
18.3179,18.3179
17.8954,19.3809
18.125,18.583
18.1703,19.7353
19.9361,19.0581
20.4481,19.9415
20.1787,19.9509
19.2435,20.0612
21.0064,19.4802
20.8954,19.5818
20.5983,20.5983
20.5169,21.283
20.6123,20.6186
21.3045,21.391
21.454,21.454
21.8576,20.7735
22.8289,21.4675
21.9785,22.3517
21.924,21.9946
22.4752,22.4752
22.6833,23.1579
22.8681,22.8681
23.2004,22.9199
22.5016,24.1808
22.6807,23.0207
23.6263,23.6263
23.27,24.1174
24.9052,24.132
24.1703,24.1703
24.2625,24.1711
23.6326,25.0486
25.2111,24.0365
24.9196,25.3489
24.2401,25.3936
25.1372,25.1189
24.7783,25.103
24.7889,26.1602
25.0197,25.3282
26.1446,26.1556
26.7638,26.7898
25.3331,26.5292
25.5772,26.055
26.4136,26.4136
26.6362,26.5457
26.6175,25.7659
27.4467,26.6473
26.1767,26.2016
27.1415,26.3151
26.9362,27.3119
27.1415,26.9993
26.9839,26.8273
27.0959,26.7244
26.7363,28.549
28.1228,28.6085
27.9264,27.9264
27.3616,28.2419
28.14,28.14
28.2426,28.2426
29.1707,28.4971
28.3193,29.2434
28.4196,29.0372
28.0819,28.3268
27.7863,29.2476
29.1408,28.4928
29.4245,29.1652
28.7989,29.746
29.7616,29.6699
28.7464,29.4391
29.1825,29.1825
29.8288,29.0508
29.3158,29.3158
29.3893,28.3862
29.2179,30.3391
29.4937,29.4937
28.9472,28.6671
30.3311,30.4365
30.3506,29.3552
29.6896,29.6896
29.7311,29.7311
29.7697,29.7697
29.3571,30.1102
30.0479,29.6743
30.8517,29.152
28.9445,30.2449
30.7846,29.2861
30.3902,29.8153
29.5964,30.6394
29.971,29.971
30.9469,30.1247
29.3451,29.0309
29.9971,29.9971
29.5304,30.7721
29.9995,29.9995
29.4437,29.6203
30.0395,29.1648
30.2608,30.5023
29.5935,29.0583
30.3993,29.6046
29.758,30.2559
29.6811,29.8862
29.3425,28.9324
29.8618,29.8618
29.8316,29.8316
30.3994,30.7513
30.3281,30.3883
29.4895,29.1508
28.8869,29.8317
29.6957,29.7078
29.9234,29.0848
29.4397,29.83
28.7739,30.0914
30.3977,30.2624
29.2125,29.4369
28.4769,29.5341
29.237,29.237
30.1466,29.0538
29.4972,29.9755
29.0222,29.0222
28.4755,29.3124
29.4319,29.2794
29.3826,29.552
28.6952,28.6952
28.6062,28.6062
28.5144,28.5144
27.5042,27.6955
28.3223,28.3223
27.3476,27.5862
27.2024,27.3742
27.8911,28.2457
28.7834,28.652
28.5665,27.6137
28.6468,27.2897
27.561,27.561
27.7945,27.2464
27.3186,27.3186
27.7269,27.2958
26.6369,27.3899
26.4227,26.0333
27.4292,27.1613
26.7205,26.2864
25.9842,26.7313
26.8856,26.8336
26.9646,26.344
26.2609,26.2481
26.5483,25.1096
26.2316,26.0675
25.638,25.638
25.4809,25.4809
26.14,26.2638
24.8521,25.3794
24.9945,24.9945
24.8273,24.8273
25.0826,24.4845
23.921,24.5409
23.7682,23.9288
24.134,24.134
23.1722,24.5204
23.7728,23.7728
23.3848,22.6083
24.0885,23.2962
23.2132,23.2132
23.5639,23.8038
23.7094,22.5849
23.0414,21.9098
22.4627,21.8833
22.2344,22.2344
22.6445,22.378
21.8272,21.8272
22.4536,21.8677
21.4112,21.4112
21.5124,20.5543
20.9867,20.9867
20.7713,20.7713
21.0877,21.2023
20.3343,20.3343
19.3285,20.5463
20.4508,19.0873
19.643,20.1651
18.8402,20.2277
18.4046,19.5037
19.3706,19.0896
19.2867,19.36
19.0852,17.8645
17.9474,17.3237
18.9368,18.0509
18.6027,17.2078
16.809,16.7506
17.3033,17.3033
17.8353,16.1666
16.8123,17.2005
17.2,17.5555
16.9327,16.2297
16.5231,16.8458
15.0777,15.6902
15.5982,16.4016
16.1245,15.5713
15.2227,15.2673
14.4568,15.1265
14.5084,14.5084
13.4947,13.7468
13.6431,14.2733
14.3805,13.9047
13.9953,13.9464
13.8483,12.7686
13.7156,13.0123
13.5945,12.7841
11.909,12.0244
12.3285,12.4828
11.2017,12.3275
11.3659,10.7515
10.8655,11.6501
11.9274,9.99002
9.97858,11.3779
10.8996,9.76658
10.1396,10.1396
8.92062,10.4644
9.61114,9.89827
8.85117,9.68291
9.73249,9.4247
8.96496,9.49417
8.49238,8.74922
7.23512,7.50226
7.96912,7.75353
7.04272,7.31553
6.47493,7.98261
6.97882,6.97882
6.19336,7.1488
5.66944,6.26727
6.10048,6.10048
5.08368,5.57416
5.10236,5.24417
5.21668,5.21668
4.92099,4.92099
4.6324,4.5787
4.89841,5.08229
4.03111,4.03111
4.32256,3.63251
4.36286,4.35443
2.80859,4.08352
2.2175,3.05096
3.4884,2.71317
2.59149,2.59023
1.34361,2.18255
2.26482,2.36922
2.07396,0.510633
1.99275,0.0834832
0.492576,0.20575
0.25031,0.439938
0.601703,-0.319786
-0.640949,-0.90461
0.144596,-1.15216
-1.06056,-0.929187
-1.39809,-0.288138
-2.16762,-1.72836
-1.65581,-1.65581
-2.15723,-1.61437
-2.17967,-2.56979
-2.08164,-2.09401
-2.57337,-2.76252
-2.77838,-3.94681
-3.44902,-3.44902
-4.63727,-3.6347
-4.11037,-4.95191
-4.9504,-5.15791
-4.04385,-4.19448
-4.17855,-3.99321
-5.81818,-6.08842
-5.52493,-5.52493
-5.81953,-5.81953
-5.5128,-5.5336
-6.61195,-6.31959
-6.69967,-6.69967
-6.99176,-6.99176
-6.8518,-7.98482
-7.57379,-7.57379
-7.99717,-8.60271
-9.0141,-8.03139
-8.90293,-8.24763
-7.81466,-8.72077
-8.72152,-8.30399
-8.65636,-10.0234
-9.63443,-9.24037
-10.5414,-9.29315
-9.59156,-10.669
-10.3592,-11.1669
-11.6716,-11.3037
-10.8261,-11.3927
-10.3941,-11.3585
-11.5504,-11.5504
-12.2534,-12.035
-12.1018,-12.1018
-11.5835,-12.1271
-12.5281,-11.8803
-12.0323,-13.3173
-12.5772,-12.7331
-13.3051,-13.7713
-14.6849,-13.833
-13.6995,-14.357
-14.9876,-14.5122
-13.6458,-14.0272
-14.7818,-14.7818
-14.344,-14.0476
-15.7379,-15.1146
-15.5582,-15.5582
-15.8139,-15.8139
-15.2011,-15.1118
-17.0127,-16.9071
-16.2638,-15.7353
-16.8133,-17.0073
-16.7345,-17.831
-17.3142,-17.3142
-16.9364,-16.8612
-18.4966,-17.2872
-18.2072,-17.6222
-18.2801,-18.2801
-17.5411,-18.0757
-18.7521,-18.7521
-19.2076,-18.2673
-18.2447,-19.7233
-18.8772,-19.7732
-19.6735,-19.6735
-19.0716,-19.0786
-21.0721,-19.9248
-21.0463,-21.0325
-20.5635,-20.5635
-20.8801,-21.5791
-21.7656,-20.1969
-21.2095,-21.2095
-21.4199,-20.6556
-22.0596,-20.9167
-22.172,-21.5078
-22.7953,-22.1499
-22.6129,-22.6928
-22.0102,-22.8137
-21.9357,-21.8491
-22.184,-21.959
-23.2113,-23.0348
-22.832,-23.4954
-23.4104,-23.4104
-23.3776,-22.8576
-22.9263,-24.1289
-24.0498,-23.1034
-24.2659,-23.3731
-24.3188,-24.3188
-24.7873,-25.456
-24.3157,-25.0136
-25.6408,-24.9591
-25.7678,-25.9891
-25.1664,-25.1664
-25.6787,-24.5256
-26.3633,-25.8025
-25.6449,-25.6449
-25.8802,-25.7062
-25.8272,-26.1051
-26.6647,-26.304
-26.2162,-26.7504
-26.4894,-25.489
-26.0875,-26.6978
-26.7882,-26.0071
-27.5382,-27.7867
-26.4417,-27.7718
-27.0709,-27.0709
-26.3804,-27.5504
-27.7206,-27.2977
-28.2659,-27.3667
-28.3755,-28.3308
-28.3834,-27.421
-27.7975,-27.7975
-27.9089,-27.9089
-27.0691,-27.1909
-27.5426,-27.1297
-28.2264,-28.2264
-28.6304,-28.2957
-28.7627,-28.2489
-28.686,-28.5349
-28.6102,-28.6102
-29.686,-27.9236
-29.6557,-28.2983
-28.376,-28.2148
-29.1592,-28.0783
-28.4104,-28.3883
-28.3275,-29.266
-29.1714,-29.1714
-29.8584,-28.2538
-29.7325,-28.5099
-29.1816,-28.8026
-30.3065,-29.2025
-28.8461,-29.2349
-28.7845,-30.1346
-29.6819,-29.1543
-29.7484,-28.7056
-29.4426,-29.4813
-29.8838,-29.2844
-30.07,-30.1747
-29.5185,-29.6865
-30.52,-29.3283
-29.9752,-29.4735
-29.8902,-29.8902
-30.7223,-29.2418
-29.9355,-29.9355
-30.336,-30.2336
-30.0604,-29.8095
-30.3586,-29.4299
-29.5216,-29.9078
-29.4472,-29.6089
-29.1091,-29.5541
-29.8833,-29.5886
-30.7782,-30.5537
-29.2289,-29.8092
-30.0635,-30.3291
-29.6751,-30.513
-29.9556,-29.9556
-29.9378,-29.9378
-30.8857,-30.699
-29.8931,-29.8931
-29.8664,-29.8664
-28.9863,-29.4985
-29.8034,-29.8741
-29.9954,-29.6248
-29.7294,-29.7294
-30.2413,-29.3453
-29.643,-29.643
-30.574,-30.4834
-30.4321,-28.6697
-30.4572,-30.452
-29.5644,-30.3856
-29.3753,-29.3753
-29.0782,-30.1088
-29.4697,-28.5199
-29.984,-28.9675
-29.1083,-29.1083
-29.8182,-29.488
-29.447,-29.671
-28.7587,-29.2015
-28.3521,-28.2613
-28.7091,-28.7091
-28.6206,-28.6206
-27.6956,-27.7782
-28.435,-28.435
-28.3277,-28.8159
-27.7193,-29.0366
-28.1354,-28.1354
-28.5471,-27.8586
-27.3958,-27.4542
-28.2655,-27.4872
-27.6965,-27.6965
-27.0248,-28.2378
-26.5833,-28.1661
-27.4217,-27.457
-26.3295,-26.6402
-26.6483,-27.1818
-26.276,-27.9225
-27.0593,-26.7146
-26.3265,-27.0089
-25.8758,-27.0697
-26.2494,-25.7199
-26.2636,-26.2636
-26.1173,-26.1173
-25.8498,-26.7431
-25.9292,-25.2413
-26.0388,-25.86
-24.8394,-26.3368
-26.2006,-25.5665
-25.1851,-25.1851
-24.962,-25.7404
-25.3338,-24.5782
-24.4963,-24.8261
-24.5131,-24.5131
-23.6883,-24.7439
-24.3126,-23.681
-23.9421,-23.9932
-23.3891,-24.5562
-23.2531,-23.048
-24.2838,-23.0825
-22.9108,-24.2367
-23.6113,-23.9379
-23.1073,-23.4812
-23.3791,-23.4355
-22.3991,-23.1166
-22.9892,-21.3531
-21.1534,-21.2622
-21.8599,-21.8599
-21.6534,-21.6534
-21.4447,-21.4447
-21.9437,-21.2685
-21.2688,-20.6565
-20.7391,-21.276
-21.4519,-19.9406
-21.3608,-21.0217
-21.0959,-19.6657
-19.9248,-19.9248
-19.6996,-19.6996
-19.3118,-18.5492
-18.7183,-18.5688
-18.8179,-18.6519
-18.3671,-19.1487
-19.5324,-18.4395
-18.8712,-18.9704
-18.3186,-18.6127
-18.0867,-16.8765
-17.5863,-17.5863
-16.6296,-16.6084
-16.6428,-17.4606
-16.632,-16.4891
-16.6003,-16.6003
-15.5313,-16.7584
-16.1751,-16.432
-15.1371,-16.5393
-16.4358,-14.779
-16.2642,-15.364
-14.4556,-14.639
-14.8118,-14.8118
-15.3423,-14.8771
-14.9117,-14.3392
-14.8061,-14.2149
-13.6596,-13.9084
-14.1111,-13.384
-13.6712,-13.4492
-13.7837,-13.4646
-13.3713,-13.6449
-12.4071,-12.4071
-12.1333,-12.1333
-11.8583,-11.8583
-11.5822,-11.5822
-11.3049,-11.3049
-10.5699,-10.8187
-10.2971,-11.0261
-11.0887,-11.072
-10.9824,-10.5518
-9.50268,-10.1331
-9.2105,-9.5321
-9.45551,-8.44125
-8.43452,-9.04471
-8.23845,-8.14625
-9.23951,-8.32207
-7.69065,-8.42937
-7.42012,-8.65051
-7.59836,-7.02773
-7.48499,-8.13229
-7.02527,-7.02527
-6.3626,-7.33692
-6.09606,-5.69349
-5.99591,-5.75847
-6.33976,-5.51815
-4.92694,-5.49424
-5.70496,-4.66833
-4.96814,-4.96814
-3.85914,-4.08829
-4.15968,-5.32574
-3.7356,-4.41536
-3.78105,-3.78105
-2.54025,-4.06933
-3.1219,-3.28446
-2.72173,-2.83363
-2.74675,-2.14905
-1.98882,-1.62722
-2.04238,-2.24196
-1.52708,-0.981569
-0.462655,-2.27533
-0.131355,-1.41995
-0.791578,-0.601079
0.433231,-0.386153
-0.338163,-0.805053
-0.20784,0.129003
0.408867,0.408867
0.490155,0.0451613
1.60746,0.312568
1.30846,1.30846
1.89158,1.35755
1.16983,1.08099
2.69375,1.38989
2.7352,3.25004
3.45033,2.9513
3.68278,2.65928
3.47953,3.29757
3.83814,4.25685
3.15736,3.98953
4.57871,4.18573
4.75459,5.26487
5.82914,4.44957
5.18274,5.18274
5.48997,5.1557
6.61768,6.26586
5.5406,6.76633
6.36024,6.36024
6.89362,7.27621
6.69415,6.29048
6.41747,8.08837
8.29375,8.2447
8.63972,8.743
8.44508,8.5572
7.85501,7.8014
7.91083,9.30409
8.77725,8.71432
9.25539,9.25539
8.72027,9.48074
9.27213,9.84704
10.1072,10.1072
11.0354,10.8405
10.7832,9.8247
