OriginalRoll,OriginalPitch,PredictedRoll,CorrectedRoll,FilteredRoll,PredictedPitch,CorrectedPitch,FilteredPitch
30.868,30.9299,29.8422,30.1194,30.3216,30.0721,30.3038,30.473
29.3089,30.1376,30.3216,30.048,29.8483,30.473,30.3824,30.3162
29.9388,29.7746,29.8483,29.8728,29.8906,30.3162,30.1699,30.0631
30.4539,29.6742,29.8906,30.0428,30.1539,30.0631,29.958,29.8814
29.3244,30.855,30.1539,29.9298,29.7662,29.8814,30.1444,30.3364
29.8722,29.6224,29.7662,29.7949,29.8158,30.3364,30.1435,30.0027
30,30,29.8158,29.8655,29.9019,30.0027,30.002,30.0014
30.2407,29.3313,29.9019,29.9934,30.0602,30.0014,29.8204,29.6883
30.204,29.9439,30.0602,30.0991,30.1274,29.6883,29.7573,29.8077
29.6804,30.3082,30.1274,30.0066,29.9185,29.8077,29.9429,30.0416
30.3784,30.4322,29.9185,30.0428,30.1334,30.0416,30.1471,30.2241
30.9768,29.9011,30.1334,30.3613,30.5276,30.2241,30.1369,30.0732
29.1676,30.8252,30.5276,30.1602,29.892,30.0732,30.2763,30.4246
30.011,30.8267,29.892,29.9242,29.9476,30.4246,30.5332,30.6125
29.3048,30.0064,29.9476,29.774,29.6472,30.6125,30.4488,30.3293
30,30,29.6472,29.7425,29.8121,30.3293,30.2403,30.1754
30.0767,30.0932,29.8121,29.8836,29.9357,30.1754,30.1532,30.137
30,30,29.9357,29.9531,29.9658,30.137,30.1,30.073
29.1564,30.7089,29.9658,29.7471,29.5875,30.073,30.2448,30.3702
30.2085,29.2133,29.5875,29.7553,29.8777,30.3702,30.0576,29.8295
30.9238,30.9599,29.8777,30.1603,30.3666,29.8295,30.1349,30.3578
29.0686,30.5498,30.3666,30.0159,29.76,30.3578,30.4097,30.4475
30,30,29.76,29.8248,29.8722,30.4475,30.3266,30.2384
30,30,29.8722,29.9067,29.9319,30.2384,30.174,30.127
30.7374,30.359,29.9319,30.1495,30.3083,30.127,30.1897,30.2354
29.6925,29.7996,30.3083,30.142,30.0205,30.2354,30.1177,30.0317
30,30,30.0205,30.015,30.0109,30.0317,30.0232,30.0169
29.0901,30.6001,30.0109,29.7622,29.5806,30.0169,30.1745,30.2894
29.8628,30.4999,29.5806,29.6568,29.7125,30.2894,30.3463,30.3878
30,30,29.7125,29.7902,29.8468,30.3878,30.283,30.2066
29.3637,30.9647,29.8468,29.7163,29.6211,30.2066,30.4114,30.5609
29.1907,29.2911,29.6211,29.5048,29.4199,30.5609,30.2178,29.9675
29.2721,30.6042,29.4199,29.38,29.3509,29.9675,30.1395,30.265
30,30,29.3509,29.5262,29.6542,30.265,30.1934,30.1412
30.1594,30.2548,29.6542,29.7907,29.8903,30.1412,30.1719,30.1943
29.0162,29.2899,29.8903,29.6542,29.4818,30.1943,29.95,29.7716
30.7061,30.0679,29.4818,29.8126,30.054,29.7716,29.8517,29.9101
29.8773,29.7019,30.054,30.0062,29.9714,29.9101,29.8538,29.8128
30.0265,29.276,29.9714,29.9863,29.9972,29.8128,29.6678,29.5619
29.7647,29.1519,29.9972,29.9344,29.8885,29.5619,29.4512,29.3703
29.4798,29.0809,29.8885,29.7781,29.6975,29.3703,29.2921,29.2351
29.5059,29.3678,29.6975,29.6457,29.608,29.2351,29.2709,29.2971
29.4799,30.6452,29.608,29.5734,29.5481,29.2971,29.6613,29.9271
30.9634,29.0993,29.5481,29.9305,30.2095,29.9271,29.7035,29.5402
30,30,30.2095,30.1529,30.1116,29.5402,29.6645,29.7551
30,30,30.1116,30.0815,30.0594,29.7551,29.8213,29.8695
30.8896,29.0959,30.0594,30.2837,30.4474,29.8695,29.6605,29.508
29.4957,29.9785,30.4474,30.1903,30.0026,29.508,29.6351,29.7279
29.6754,30.7755,30.0026,29.9142,29.8497,29.7279,30.0109,30.2175
30,30,29.8497,29.8903,29.9199,30.2175,30.1587,30.1158
29.7385,29.0665,29.9199,29.8709,29.8352,30.1158,29.8324,29.6255
29.3257,30.5605,29.8352,29.6975,29.5971,29.6255,29.8781,30.0624
30,30,29.5971,29.7059,29.7854,30.0624,30.0456,30.0333
29.4206,29.4834,29.7854,29.6868,29.6149,30.0333,29.8847,29.7763
29.8078,29.9849,29.6149,29.667,29.7051,29.7763,29.8326,29.8738
29.4468,29.2639,29.7051,29.6353,29.5844,29.8738,29.709,29.5888
30.8841,30.9099,29.5844,29.9355,30.1918,29.5888,29.9457,30.2062
30,30,30.1918,30.14,30.1021,30.2062,30.1505,30.1098
30.1504,30.515,30.1021,30.1152,30.1247,30.1098,30.2193,30.2992
29.8705,29.4696,30.1247,30.056,30.0059,30.2992,30.0751,29.9115
29.7063,29.1063,30.0059,29.925,29.8659,29.9115,29.694,29.5352
30,30,29.8659,29.9021,29.9286,29.5352,29.6608,29.7524
29.0308,29.81,29.9286,29.686,29.509,29.7524,29.768,29.7793
30.8169,29.338,29.509,29.8623,30.1202,29.7793,29.6601,29.5731
30,30,30.1202,30.0877,30.064,29.5731,29.6884,29.7726
29.5166,30.4634,30.064,29.9161,29.8082,29.7726,29.9592,30.0954
30.2955,29.9867,29.8082,29.9399,30.0359,30.0954,30.0661,30.0446
29.757,30.094,30.0359,29.9606,29.9056,30.0446,30.058,30.0677
29.5926,29.5756,29.9056,29.821,29.7593,30.0677,29.9348,29.8377
30.2469,29.3779,29.7593,29.891,29.9872,29.8377,29.7135,29.6228
30,30,29.9872,29.9906,29.9932,29.6228,29.7247,29.7991
29.625,29.367,29.9932,29.8937,29.8211,29.7991,29.6824,29.5972
29.737,29.6879,29.8211,29.7984,29.7818,29.5972,29.6217,29.6396
30.6315,30.5605,29.7818,30.0114,30.1789,29.6396,29.8884,30.0699
29.1623,29.7588,30.1789,29.9043,29.7038,30.0699,29.9859,29.9245
30,30,29.7038,29.7838,29.8422,29.9245,29.9449,29.9598
30.5514,29.6072,29.8422,30.0338,30.1736,29.9598,29.8645,29.795
30.8211,29.8717,30.1736,30.3486,30.4762,29.795,29.8157,29.8309
29.8936,30.5116,30.4762,30.3188,30.2039,29.8309,30.0148,30.149
29.2161,30.017,30.2039,29.9371,29.7423,30.149,30.1133,30.0873
30.0215,30.7404,29.7423,29.8177,29.8728,30.0873,30.2637,30.3925
30,30,29.8728,29.9071,29.9322,30.3925,30.2865,30.2091
30.5897,30.8342,29.9322,30.1099,30.2395,30.2091,30.378,30.5012
30.0876,29.7572,30.2395,30.1985,30.1685,30.5012,30.3002,30.1535
30.6232,29.3997,30.1685,30.2913,30.381,30.1535,29.9499,29.8012
30.8979,29.7015,30.381,30.5206,30.6226,29.8012,29.7743,29.7546
30,30,30.6226,30.4544,30.3316,29.7546,29.8209,29.8693
30,30,30.3316,30.242,30.1766,29.8693,29.9046,29.9304
30.7519,29.033,30.1766,30.3321,30.4455,29.9304,29.6879,29.511
29.7772,30.2449,30.4455,30.2649,30.1332,29.511,29.7093,29.854
30.1741,29.9533,30.1332,30.1442,30.1523,29.854,29.8808,29.9004
30.0803,29.6025,30.1523,30.1328,30.1187,29.9004,29.8199,29.7612
29.9418,30.8004,30.1187,30.0709,30.036,29.7612,30.0419,30.2468
29.389,30.6886,30.036,29.8612,29.7336,30.2468,30.3662,30.4533
30,30,29.7336,29.8056,29.8581,30.4533,30.3308,30.2415
29.8824,29.4518,29.8581,29.8647,29.8695,30.2415,30.0281,29.8724
29.3414,29.479,29.8695,29.7268,29.6227,29.8724,29.7661,29.6886
30.5993,29.8714,29.6227,29.8865,30.0791,29.6886,29.738,29.774
29.6222,29.1796,30.0791,29.9557,29.8656,29.774,29.6134,29.4962
30,30,29.8656,29.9019,29.9284,29.4962,29.6323,29.7317
29.8604,30.2661,29.9284,29.91,29.8966,29.7317,29.876,29.9814
30.1688,30.8098,29.8966,29.9701,30.0238,29.9814,30.2052,30.3685
30.9595,29.7093,30.0238,30.2766,30.4611,30.3685,30.1904,30.0605
30.3608,29.2222,30.4611,30.434,30.4142,30.0605,29.834,29.6687
29.5161,29.3247,30.4142,30.1716,29.9945,29.6687,29.5758,29.5079
29.2675,30.1898,29.9945,29.7981,29.6548,29.5079,29.6922,29.8266
29.5244,29.0841,29.6548,29.6195,29.5938,29.8266,29.626,29.4796
30.5947,30.4224,29.5938,29.8642,30.0616,29.4796,29.7343,29.9202
29.4435,30.6624,30.0616,29.8946,29.7727,29.9202,30.1207,30.2671
29.6499,29.5934,29.7727,29.7395,29.7153,30.2671,30.0851,29.9522
29.6376,29.8404,29.7153,29.6943,29.679,29.9522,29.922,29.9
30.5638,30.0157,29.679,29.918,30.0925,29.9,29.9312,29.9541
29.171,30.9871,30.0925,29.8435,29.6619,29.9541,30.2331,30.4368
29.3631,30.602,29.6619,29.5811,29.5222,30.4368,30.4814,30.514
29.0584,29.5318,29.5222,29.3969,29.3055,30.514,30.2487,30.055
30,30,29.3055,29.4931,29.63,30.055,30.0401,30.0293
30.4607,29.2015,29.63,29.8545,30.0182,30.0293,29.8057,29.6424
29.6887,30.1571,30.0182,29.9292,29.8642,29.6424,29.7815,29.883
29.4746,30.9373,29.8642,29.759,29.6821,29.883,30.1678,30.3757
29.4275,30.9262,29.6821,29.6134,29.5631,30.3757,30.5244,30.633
30.0936,29.4531,29.5631,29.7064,29.811,30.633,30.3142,30.0816
29.3798,29.4632,29.811,29.6945,29.6095,30.0816,29.9145,29.7926
29.9778,29.8266,29.6095,29.709,29.7816,29.7926,29.8018,29.8085
29.3403,30.3583,29.7816,29.6624,29.5754,29.8085,29.957,30.0654
29.791,30.2729,29.5754,29.6336,29.6761,30.0654,30.1215,30.1624
29.3031,30.976,29.6761,29.5754,29.5018,30.1624,30.3822,30.5426
29.0755,30.7679,29.5018,29.3866,29.3026,30.5426,30.6035,30.6479
30,30,29.3026,29.491,29.6285,30.6479,30.4729,30.3451
30,30,29.6285,29.7289,29.8021,30.3451,30.2519,30.1838
30,30,29.8021,29.8556,29.8946,30.1838,30.1342,30.0979
30.5924,30.1657,29.8946,30.0831,30.2207,30.0979,30.1162,30.1296
30.5337,29.5237,30.2207,30.3053,30.367,30.1296,29.9659,29.8464
29.6707,29.2581,30.367,30.1789,30.0416,29.8464,29.6875,29.5715
29.5839,29.2731,30.0416,29.9179,29.8277,29.5715,29.4909,29.432
30,30,29.8277,29.8742,29.9082,29.432,29.5855,29.6975
29.4615,29.2135,29.9082,29.7875,29.6995,29.6975,29.5667,29.4713
30.3075,29.0032,29.6995,29.8637,29.9836,29.4713,29.3448,29.2525
29.0251,30.5581,29.9836,29.7247,29.5357,29.2525,29.6052,29.8627
30.4301,29.1974,29.5357,29.7773,29.9537,29.8627,29.6829,29.5518
30,30,29.9537,29.9662,29.9753,29.5518,29.6729,29.7612
30.7818,29.7107,29.9753,30.1932,30.3522,29.7612,29.7476,29.7376
30.4399,30.3975,30.3522,30.3759,30.3932,29.7376,29.9159,30.046
29.3956,30.0277,30.3932,30.1237,29.927,30.046,30.0411,30.0374
29.848,30.4881,29.927,29.9056,29.8901,30.0374,30.1592,30.248
30,29.5079,29.8901,29.9198,29.9414,30.248,30.0481,29.9022
29.803,30.8094,29.9414,29.904,29.8767,29.9022,30.1473,30.3261
30.2197,30.8685,29.8767,29.9694,30.037,30.3261,30.4727,30.5796
29.9451,30.7189,30.037,30.0122,29.9941,30.5796,30.6172,30.6447
30.611,29.9768,29.9941,30.1607,30.2824,30.6447,30.4643,30.3326
30.029,29.3658,30.2824,30.2139,30.164,30.3326,30.0714,29.8808
29.4799,29.666,30.164,29.9792,29.8443,29.8808,29.8228,29.7804
30,30,29.8443,29.8864,29.9171,29.7804,29.8397,29.883
29.0573,30.1921,29.9171,29.6848,29.5153,29.883,29.9665,30.0275
29.6203,29.3359,29.5153,29.5436,29.5644,30.0275,29.8406,29.7043
30,30,29.5644,29.682,29.7679,29.7043,29.7842,29.8425
30,30,29.7679,29.8306,29.8764,29.8425,29.885,29.9161
30.4254,30.4938,29.8764,30.0247,30.133,29.9161,30.0722,30.1861
29.6451,29.9422,30.133,30.0012,29.905,30.1861,30.1202,30.0721
29.1192,30.9049,29.905,29.6927,29.5378,30.0721,30.2971,30.4613
30.0694,29.0849,29.5378,29.6814,29.7862,30.4613,30.0895,29.8181
30,30,29.7862,29.844,29.8861,29.8181,29.8672,29.9031
30.8692,30.0433,29.8861,30.1517,30.3455,29.9031,29.941,29.9686
29.1935,29.5794,30.3455,30.0343,29.8072,29.9686,29.8635,29.7867
30,30,29.8072,29.8593,29.8973,29.7867,29.8443,29.8864
30.6351,29.4638,29.8973,30.0966,30.2421,29.8864,29.7722,29.6889
30.4094,29.2997,30.2421,30.2873,30.3203,29.6889,29.5838,29.507
30.3192,29.8444,30.3203,30.32,30.3198,29.507,29.5982,29.6647
30.8721,30.9459,30.3198,30.469,30.5779,29.6647,30.0108,30.2634
30.298,30.2864,30.5779,30.5023,30.4471,30.2634,30.2696,30.2742
30,30,30.4471,30.3263,30.2382,30.2742,30.2001,30.146
29.9076,29.8739,30.2382,30.1489,30.0837,30.146,30.0725,30.0189
29.4886,30.6506,30.0837,29.9229,29.8056,30.0189,30.1895,30.3141
29.1669,30.8139,29.8056,29.633,29.5071,30.3141,30.4491,30.5477
29.153,29.3468,29.5071,29.4114,29.3416,30.5477,30.2232,29.9865
29.7819,30.2344,29.3416,29.4606,29.5474,29.9865,30.0534,30.1023
30,30,29.5474,29.6697,29.7589,30.1023,30.0747,30.0545
30.6067,29.794,29.7589,29.9879,30.1551,30.0545,29.9841,29.9328
29.5553,29.7985,30.1551,29.9931,29.8748,29.9328,29.8965,29.87
30,30,29.8748,29.9086,29.9333,29.87,29.9051,29.9308
30.8179,29.8336,29.9333,30.1723,30.3467,29.9308,29.9045,29.8854
30.3137,29.3616,30.3467,30.3378,30.3313,29.8854,29.7439,29.6406
30.03,29.584,30.3313,30.2499,30.1905,29.6406,29.6253,29.6141
30,30,30.1905,30.139,30.1015,29.6141,29.7184,29.7945
29.7186,29.031,30.1015,29.998,29.9225,29.7945,29.5882,29.4377
30,30,29.9225,29.9435,29.9587,29.4377,29.5896,29.7005
30,30,29.9587,29.9699,29.978,29.7005,29.7814,29.8404
29.3343,29.3442,29.978,29.8041,29.6772,29.8404,29.7064,29.6085
29.9856,29.7448,29.6772,29.7605,29.8213,29.6085,29.6453,29.6722
29.3962,30.7286,29.8213,29.7065,29.6226,29.6722,29.9576,30.1659
29.4084,29.679,29.6226,29.5648,29.5225,30.1659,30.0344,29.9384
30.9033,30.7561,29.5225,29.8955,30.1678,29.9384,30.1593,30.3205
30,30,30.1678,30.1225,30.0894,30.3205,30.2339,30.1707
29.1054,30.8932,30.0894,29.8236,29.6295,30.1707,30.3659,30.5084
29.3334,29.5382,29.6295,29.5495,29.4911,30.5084,30.2463,30.055
30,30,29.4911,29.6286,29.7289,30.055,30.0401,30.0293
30.1279,30.0957,29.7289,29.8367,29.9154,30.0293,30.0472,30.0603
30.8855,29.2624,29.9154,30.1775,30.3687,30.0603,29.8448,29.6874
30.1336,30.9661,30.3687,30.3052,30.2589,29.6874,30.0329,30.285
29.6029,29.621,30.2589,30.0816,29.9523,30.285,30.1056,29.9747
29.2413,30.3327,29.9523,29.7602,29.62,29.9747,30.0714,30.142
30.0783,29.4854,29.62,29.7438,29.8342,30.142,29.9646,29.8352
30.6457,30.3331,29.8342,30.0534,30.2134,29.8352,29.9697,30.0679
29.3563,29.6254,30.2134,29.9819,29.8129,30.0679,29.9483,29.8611
30.7635,30.9982,29.8129,30.0697,30.2571,29.8611,30.1683,30.3925
29.3422,30.4786,30.2571,30.01,29.8296,30.3925,30.4158,30.4327
29.1251,30.1224,29.8296,29.6392,29.5003,30.4327,30.3489,30.2877
30.7637,29.1799,29.5003,29.8416,30.0907,30.2877,29.9884,29.77
29.0166,29.3809,30.0907,29.8006,29.5888,29.77,29.6649,29.5882
29.7378,30.2686,29.5888,29.629,29.6584,29.5882,29.772,29.9061
30.0595,30.9633,29.6584,29.7668,29.8459,29.9061,30.1917,30.4002
29.3128,29.6716,29.8459,29.7018,29.5967,30.4002,30.2034,30.0597
30,30,29.5967,29.7057,29.7852,30.0597,30.0436,30.0318
30.2895,29.4674,29.7852,29.9214,30.0209,30.0318,29.8793,29.768
29.3463,29.3818,30.0209,29.8386,29.7056,29.768,29.6637,29.5875
29.8565,30.4538,29.7056,29.7464,29.7761,29.5875,29.8216,29.9924
30.7551,29.2412,29.7761,30.0406,30.2336,29.9924,29.7894,29.6413
30.179,29.4695,30.2336,30.2189,30.2081,29.6413,29.5949,29.561
29.956,29.7692,30.2081,30.14,30.0903,29.561,29.6173,29.6583
30.166,30.4947,30.0903,30.1107,30.1257,29.6583,29.8843,30.0492
30.3094,29.5809,30.1257,30.1753,30.2115,30.0492,29.9227,29.8303
30.2342,29.9455,30.2115,30.2177,30.2221,29.8303,29.8615,29.8842
30.993,30.6488,30.2221,30.4304,30.5824,29.8842,30.0907,30.2415
30.9653,30.7989,30.5824,30.6858,30.7613,30.2415,30.3921,30.502
30.5458,29.6878,30.7613,30.7031,30.6606,30.502,30.282,30.1215
30.1681,30.8142,30.6606,30.5276,30.4304,30.1215,30.3086,30.4452
29.7496,30.8126,30.4304,30.2465,30.1123,30.4452,30.5445,30.6169
30,30,30.1123,30.0819,30.0598,30.6169,30.4502,30.3286
30,30,30.0598,30.0436,30.0319,30.3286,30.2398,30.175
30.6355,29.6535,30.0319,30.1949,30.314,30.175,30.0341,29.9313
30.3184,30.1887,30.314,30.3152,30.316,29.9313,30.0008,30.0516
29.045,29.098,30.316,29.9727,29.722,30.0516,29.794,29.606
30.5399,29.6254,29.722,29.943,30.1042,29.606,29.6112,29.615
29.323,29.9764,30.1042,29.8932,29.7391,29.615,29.7127,29.7839
29.8583,29.8458,29.7391,29.7713,29.7948,29.7839,29.8006,29.8128
29.1885,30.5529,29.7948,29.631,29.5115,29.8128,30.0128,30.1587
30.9495,29.9418,29.5115,29.9,30.1835,30.1587,30.1001,30.0573
30.3919,30.269,30.1835,30.2398,30.2809,30.0573,30.1145,30.1562
29.1444,30.2771,30.2809,29.9739,29.7498,30.1562,30.1889,30.2127
29.0672,30.0578,29.7498,29.5654,29.4308,30.2127,30.1709,30.1403
29.5923,29.6392,29.4308,29.4744,29.5063,30.1403,30.0049,29.9061
30.0617,30.2622,29.5063,29.6563,29.7658,29.9061,30.0023,30.0725
30.989,29.8152,29.7658,30.0963,30.3375,30.0725,30.003,29.9523
30.64,30.4489,30.3375,30.4192,30.4788,29.9523,30.0864,30.1844
29.4911,30.9373,30.4788,30.212,30.0172,30.1844,30.3878,30.5362
30.0627,30.4972,30.0172,30.0295,30.0385,30.5362,30.5257,30.518
30.3659,29.2113,30.0385,30.1269,30.1915,30.518,30.165,29.9073
30.2219,29.1577,30.1915,30.1997,30.2057,29.9073,29.7048,29.557
29.9179,29.8469,30.2057,30.128,30.0712,29.557,29.6353,29.6925
29.1816,29.1358,30.0712,29.8309,29.6555,29.6925,29.5421,29.4323
29.1383,29.3073,29.6555,29.5158,29.4138,29.4323,29.3986,29.3739
29.562,29.5241,29.4138,29.4538,29.483,29.3739,29.4145,29.4441
29.9668,30.0543,29.483,29.6137,29.7091,29.4441,29.6089,29.7293
29.9148,29.1889,29.7091,29.7647,29.8052,29.7293,29.5833,29.4767
30,30,29.8052,29.8579,29.8963,29.4767,29.6181,29.7213
30.0361,30.9397,29.8963,29.934,29.9616,29.7213,30.0504,30.2907
30,30,29.9616,29.972,29.9796,30.2907,30.2121,30.1548
30.2754,29.5364,29.9796,30.0595,30.1178,30.1548,29.9878,29.8658
30,30,30.1178,30.086,30.0628,29.8658,29.9021,29.9285
29.4814,29.8315,30.0628,29.9057,29.7911,29.9285,29.9023,29.8832
29.9494,29.5781,29.7911,29.8338,29.8651,29.8832,29.8008,29.7406
30.3436,30.2275,29.8651,29.9943,30.0887,29.7406,29.8721,29.9681
29.9812,29.136,30.0887,30.0597,30.0385,29.9681,29.7433,29.5793
30,30,30.0385,30.0281,30.0205,29.5793,29.6929,29.7759
30.8704,29.4481,30.0205,30.2501,30.4177,29.7759,29.6873,29.6227
30,30,30.4177,30.3048,30.2225,29.6227,29.7246,29.799
29.6077,30.6888,30.2225,30.0564,29.9352,29.799,30.0394,30.2148
29.6889,29.4525,29.9352,29.8686,29.8201,30.2148,30.0089,29.8586
29.8979,30.3507,29.8201,29.8411,29.8565,29.8586,29.9915,30.0886
29.0134,29.4613,29.8565,29.6287,29.4625,30.0886,29.9191,29.7954
30.4238,29.7735,29.4625,29.7222,29.9117,29.7954,29.7895,29.7852
30,30,29.9117,29.9356,29.953,29.7852,29.8432,29.8856
30,30,29.953,29.9657,29.975,29.8856,29.9165,29.939
29.0023,29.5453,29.975,29.7122,29.5204,29.939,29.8327,29.755
29.938,29.8487,29.5204,29.6332,29.7156,29.755,29.7803,29.7988
29.9218,29.8928,29.7156,29.7713,29.8119,29.7988,29.8242,29.8427
30.9419,29.6449,29.8119,30.1172,30.34,29.8427,29.7893,29.7503
30.5695,29.4302,30.34,30.402,30.4473,29.7503,29.6638,29.6007
29.4952,29.0715,30.4473,30.1901,30.0023,29.6007,29.4577,29.3534
30,30,30.0023,30.0017,30.0012,29.3534,29.5281,29.6556
29.9727,30.4435,30.0012,29.9935,29.9879,29.6556,29.8684,30.0238
29.947,29.4313,29.9879,29.9769,29.9688,30.0238,29.8637,29.7469
30.0805,29.6822,29.9688,29.999,30.021,29.7469,29.7294,29.7167
30.2148,29.5674,30.021,30.0734,30.1116,29.7167,29.6763,29.6469
30.0857,30.4769,30.1116,30.1046,30.0995,29.6469,29.8711,30.0348
29.4857,29.664,30.0995,29.9337,29.8126,30.0348,29.9346,29.8615
30,30,29.8126,29.8633,29.9002,29.8615,29.8989,29.9262
30,30,29.9002,29.9272,29.9468,29.9262,29.9462,29.9607
30.7141,30.531,29.9468,30.1541,30.3054,29.9607,30.1148,30.2272
29.3773,30.7699,30.3054,30.0547,29.8717,30.2272,30.3738,30.4808
30.1862,29.1822,29.8717,29.9566,30.0187,30.4808,30.13,29.8739
